Product Name,Price (₹),Rating,Number of Ratings
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg) Anti-glare, Micro-edge, 15.6-inch(39.6cm) FHD laptop, Intel UHD Graphics, HD camera, Backlit KB, fq5327tu","35,499",4.0 out of 5 stars,"1,204"
"MSI CreatorPro M16, Intel 13th Gen. i7-13700H,41CM QHD+ 60Hz Creator Laptop (32GB/1TB NVMe SSD/Windows 11 Pro/RTX™ 2000 Ada, GDDR6 8GB/Core Black/2.29Kg), B13VJ-1272IN","2,65,990",3.9 out of 5 stars,106
"Lenovo V15 AMD Ryzen 3 7320U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11/Arctic Grey/1.65 Kg), 82YU00W7IN","26,090",3.5 out of 5 stars,4
"Microsoft New Surface Pro9 13"" Intel Evo 12 Gen I7 / 32Gb / 1Tb Platinum with Windows 11 Home, 365 Family 30-Day Trial,Xbox Game Pass Ultimate 30-Day Trial Bluetooth;Wi-Fi;NFC Platinum","2,61,990",2.0 out of 5 stars,1
"Apple 2025 MacBook Air 13″ Laptop with M4 chip: Built for Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Camera, Touch ID; Silver","99,900",4.5 out of 5 stars,29
"MSI Katana A17 AI, AMD 8th Gen. Ryzen 9 8945HS,Built-in AI, 44CM Laptop(16GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4050, 6GB GDDR6/Black/2.6Kg), B8VE-884IN","1,14,990",3.9 out of 5 stars,3
"MSI Thin 15, Intel 13th Gen. Core i7-13620H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB /Cosmos Gray/1.86Kg), B13UCX-1806IN","69,990",4.1 out of 5 stars,42
"MSI Modern 14, Intel 12th Gen. i3 1215U,36CM Laptop(8GB/512GB NVMe SSD/Windows 11 Home/UHD Graphic/Classic Black/1.4Kg),C12MO-1205IN","30,490",2.5 out of 5 stars,4
"ASUS ROG Zephyrus G16, Gaming Laptop, Intel Core Ultra 9 185H, Built-in AI, NVIDIA GeForce RTX 4070,16"" 2.5K QHD+ (40.64cm) 240Hz (32GB/1TB SSD/Win 11/Office 2021/Grey/1.85 kg), GU605MI-QP253WS","2,09,990",3.2 out of 5 stars,13
"Lenovo V15 12th Gen Intel Core i7-1255U 15.6"" FHD Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg), 82TTA073IN","45,990",3.7 out of 5 stars,4
"Lenovo Yoga 9 13th Gen Intel Evo i7 1360P 14""(35.56cm) 4K OLED 2-in-1 400Nits Laptop (16GB/1TB SSD/Win 11/Office 2021/Backlit KB/Pen 2.0/1Yr Warranty/Alexa/3 Month Game Pass/Oatmeal/1.4Kg) 83B1004XIN","1,58,300",4.0 out of 5 stars,899
"HP OMEN, 13th Gen Intel Core i7-13700HX, 6GB NVIDIA RTX 4050, 16GB DDR5, 512GB SSD, (Win11, Office21, Black, 2.1kg) 165Hz, 7MS, IPS, WUXGA, 16-inch (40.6cm), Gaming Laptop, RGB KB, u0022TX","1,50,990",4.0 out of 5 stars,35
"MSI Stealth 16 Studio, Intel 13th Gen. i7-13700H, 41CM QHD+ 240Hz Gaming Laptop (32GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4060, 8GB GDDR6/Star Blue/1.99Kg), A13VF-023IN","2,79,990",3.5 out of 5 stars,"3,203"
"HP 15S AMD Ryzen 5000 (16GB Ram/512GB SSD/Fhd/Windows 11/Ms Office 21/Backlit Keyboard/ 15.6"" (39.6 Cm)/Silver/2.21 Kg) Eq2305Au/Eq2182Au Laptop","39,990",4.0 out of 5 stars,263
"Dell Inspiron 3530 Laptop, 13th Generation Intel Core i7-1355U Processor, 16GB, 512GB, 15.6"" (39.62cm) FHD 120Hz Display, Backlit KB, Windows 11 + MSO'21, 15 Month McAfee, Silver, Thin & Light-1.62kg","67,990",4.1 out of 5 stars,227
"Chuwi HeroBook Plus 15.6"" FHD Laptop, Intel Celeron N4020 Dual Core Processor Upto 2.80GHz, 8GB RAM, 256GB SSD, Intel UHD Graphics, Windows 11,WiFi 6,Webcam,BT 5.2,HDMI Port,38Wh, 1.74kg (Iron Gray)","18,990",4 Stars &amp; Up,Not Found
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN","36,990",Not Found,Not Found
"WOOKY MacBook Air M1 13 Shockproof 360 Degree PC + TPU Protection Plastic Hard Shell Flip Cover Case for MacBook Air, A1932, A2179, A2337 (Black, Clear)","1,999",Not Found,Not Found
"MSI Thin 15, Intel Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB /Cosmos Gray/1.86Kg), B13UCX-1808IN","52,990",5 out of 5 stars.,5
"HP 15, 13th Gen Intel Core i7-1355U (16GB DDR4, 512GB SSD) Microsoft365* Office2024, Win11, 15.6inch(39.6cm) FHD Laptop, Intel Iris Xe, FHD Camera w/Privacy Shutter, Backlit, Silver, 1.59kg, fd0468tu","72,419",5 out of 5 stars.,4
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Win11 Home) AL15-41, 39.62 cm (15.6"") FHD Display, Metal Body, Multicolor Backlit Keyboard, Steel Gray, 1.59 KG","34,490",2.5 out of 5 stars,8
Microsoft Surface Laptop Studio - 14.4 Inches Touchscreen - Intel Core I5-16Gb Memory - 256Gb Ssd - Platinum Windows 11 (Thr-00022) - Wi-Fi,"53,550",3.8 out of 5 stars,26
"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","30,990",3.4 out of 5 stars,781
"Dell Inspiron 3530 13th Gen Laptop, Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits Narrow Border/Windows 11+MSO'21/McAfee 15 Month/Platinum Silver/1.62kg","31,990",3.9 out of 5 stars,115
"Lenovo IdeaPad 3, Intel Core i3-1215U, 12th Gen, 8GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MSOffice 2021, Arctic Grey, 1.43Kg, 82RJ00FUIN, 1 Year Warranty, 3months Game Pass, Thin& Light Laptop","33,989",4.0 out of 5 stars,484
Lenovo V15 Intel Celeron n4500 FHD 15.6 inch Laptop / 8GB DDR4 Ram and 256GB NVME SSD/Intel UHD Graphics/Windows 11 & MS-Office/Privacy Shutter/Black / 1.6kg / 1 Year Brand Warranty,,4.0 out of 5 stars,
"Samsung Galaxy Book3 Pro 360 Intel 13th Gen i7 EvoTM 40.62cm(16"") Touchscreen 2-in-1 3K Display, 120Hz, Thin & Light Laptop(16 GB/1 TB SSD/Windows 11/MS Office/S-Pen/Graphite/1.6Kg), NP960QFG-KA3IN","36,840",4.0 out of 5 stars,215
HP 14s Core i3 12th Gen (8GB RAM/512GB SSD/FHD/14 (35.6 cm)/ Windows 11/ MS Office 21/Backlit Keyboard/Silver/1.46kg) dq5138TU Laptop,"33,989",4.0 out of 5 stars,484
"MSI Modern 14, Intel 12th Gen. i3 1215U,36CM Laptop(8GB/512GB NVMe SSD/Windows 11 Home/UHD Graphic/Classic Black/1.4Kg),C12MO-1205IN","21,990",4.0 out of 5 stars,4
"CHUWI CoreBook X Laptop 12thGen i3-1220P Processor, 8GB DDR4 RAM and 512GB SSD, Intel® UHD Graphics,14.0"" FHD IPS Display, Backlit Keyboard, Windows 11 Home, WIFI6, BT5.2, 3.5MM Jack, Metal Body, Grey","1,49,999",4.0 out of 5 stars,21
HP Zbook Power G4-A 15.6(39.6 cm) FHD Display Creator Laptop/AMD Ryzen 5 6600H/16GB RAM/512GB SSD+ 1TB HDD/NVIDIA Quadro T600 (4 GB GDDR6 Dedicated)/Windows 11 Home/MSO 21/Backlit Keyboard,"37,932",4.4 out of 5 stars,"1,212"
"HP 15 AI Laptop, Intel Core Ultra 5 125H, 12 Tops, 16GB DDR5, 512GB SSD (Win11, Office 21, Silver, 1.65kg) IPS, 15.6-inch(39.6cm), 300 nits, FHD, Intel Arc Graphics, Backlit KB, FHD Camera, fd1099TU","30,490",4.0 out of 5 stars,42
"Acer Aspire 3D 15 SpatialLabs Edition Gaming Laptop Intel Core i7-13620H Processor (16GB/1TB/NVIDIA RTX4050/Win11Home) A3D15-71GM, 39.6 cm(15.6"") UHD 3840 x 2160 IPS Display, Obsidian Black, 2.32KG","22,990",4.1 out of 5 stars,215
"Thomson Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) IN-N15V2C Thin and Light Laptop with Numeric Keyboard (15.6 inch, Silver, 1.56 kg)","1,17,516",4.1 out of 5 stars,13
"MSI Katana A17 AI, AMD Ryzen 9 8945HS,Built-in AI, 44CM FHD 144Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4070, GDDR6 8GB/Black/2.7Kg), B8VG-868IN","66,690",3.6 out of 5 stars,7
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","1,74,990",3.1 out of 5 stars,3
"ASUS Vivobook 15, Intel Core i3-1215U, 8GB RAM, 512GB SSD, FHD 16:9 60Hz 250nits, 15.6""/39.6cm, Windows 11 Home, Office 2021, Cool Silver, 1.7KG, X1504ZA-NJ320WS, Intel UHD Graphics, Backlit Laptop","16,990",2.9 out of 5 stars,261
"Dell [Smartchoice] Windows 11 Home 3520 Laptop, Intel Core i3-1215U, 12Th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /15 Month Mcafee /Black /1.69Kg Thin & Light","1,43,990",4.7 out of 5 stars,241
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Thin and Light Metal Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel UHD Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray(UN.AA3SI.03N)","21,990",3.4 out of 5 stars,912
"Dell [Smartchoice] Windows 11 Home 3520 Laptop, Intel Core i3-1215U, 12Th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /15 Month Mcafee /Black /1.69Kg Thin & Light","32,990",3.8 out of 5 stars,781
51 Trading Strategies - Optimise Your Trades with 51 Time-tested Strategies by Aseem Singhal | Zebralearn | 7 Categories of Trading Strategies | Technical Analysis | Zebra Learn,"34,990",3.7 out of 5 stars,912
"MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN","64,990",2.9 out of 5 stars.,31
"MSI Modern 14, Intel 12th Gen. i7 1255U,36CM Laptop(16GB/512GB NVMe SSD/Windows 11 Home/Iris Xe/Classic Black/1.4Kg), C12MO-1202IN","48,990",3.5 out of 5 stars.,14
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg), 82RK00VWIN","32,810",3.8 out of 5 stars.,"1,047"
"FOLINHAM 14.1 Inch Laptop PC, 8GB RAM 512GB SSD Windows 11 Pro Notebook Computer, FHD 1920x1080 Display, Celeron Processor Up to 2.8GHz, USB 3.0, Type-C, Mini-HDMI, 2.4/5G WiFi, BT4.2, 7.6V/5000mAh","19,549",4.0 out of 5 stars,10
"HP 247 G8 Laptop (AMD R3-5300U/ 14 Inches /8GB Ram DDR4 /512 GB SSD/Windows 11 Home) One Year Warranty, 600A9Pa","25,990",3.8 out of 5 stars,3
"HP 15s, 12th Gen Intel Core i5-1235U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), FY5008TU Anti-Glare, 15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, Backlit KB, HD Camera, fq5329tu","45,022",4.1 out of 5 stars,231
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, Thin and Light Laptop, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Silver/1.38 kg), E1404FA-NK321WS","29,990",4.6 out of 5 stars,97
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","24,990",4.0 out of 5 stars,128
DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14 HD Display/Grey/1.5 kg/MS Office 2021,"30,000",4.1 out of 5 stars,7
"Lenovo IdeaPad Slim 1 Intel® Celeron® N4020 15.6 inch (39.6cm) Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home & Student 2021/1Yr ADP Free/Grey/1.3Kg), 82V700KHIN","24,325",3.9 out of 5 stars,275
